unitid,name,city,state,region,type,setting,undergraduate_enrollment,acceptance_rate,latitude,longitude,top_majors,graduation_rate,retention_rate,student_faculty_ratio,tuition_in_state,tuition_out_state,net_price,average_aid,debt_median,median_earnings,repayment_rate,housing_available,sports_division,greek_life_rate,culture_tags,source_name,source_year,data_version,imported_at,refreshed_at
100751,The University of Alabama,Tuscaloosa,AL,South,Public,Urban,32323,0.7582,33.211875,-87.545978,Business|Communications|Social Sciences,0.7369,0.8609,19.0,11900,33200,22150,15683,22750,59221,0.6019,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
104151,Arizona State University Campus Immersion,Tempe,AZ,West,Public,Urban,64398,0.9019,33.417721,-111.934383,Business|Computer Science|Engineering,0.6785,0.8532,18.0,12051,32193,13670,12381,19500,62668,0.5849,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
104179,University of Arizona,Tucson,AZ,West,Public,Urban,40769,0.8566,32.232672,-110.950815,Business|Health Professions|Psychology,0.6589,0.8767,20.0,13626,41095,15960,15279,19620,59979,0.6563,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
104717,Grand Canyon University,Phoenix,AZ,West,Private,Urban,68619,0.6036,33.513231,-112.129929,Business|Health Professions|Public Administration,0.4304,0.6838,20.0,17450,17450,21931,9662,22114,42186,0.3520,true,DI,,large|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
106397,University of Arkansas,Fayetteville,AR,South,Public,Urban,27312,0.7167,36.070009,-94.176981,Business|Engineering|Health Professions,0.6997,0.8646,20.0,9748,28772,17525,8474,21500,58191,0.6712,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
110404,California Institute of Technology,Pasadena,CA,West,Private,Urban,1023,0.0314,34.137349,-118.125878,Computer Science|Engineering|Physical Sciences,0.9316,0.9777,3.0,63255,63255,18902,59192,,128566,,true,DIII,,private-nonprofit|small|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
110565,California State University-Fullerton,Fullerton,CA,West,Public,Suburban,36956,0.8674,33.881506,-117.885446,Business|Communications|Psychology,0.6922,0.8499,26.0,7073,18953,5646,9194,13750,62951,0.7021,true,DI,,large|public|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
110583,California State University-Long Beach,Long Beach,CA,West,Public,Urban,34131,0.4712,33.782818,-118.112040,Business|Engineering|Visual and Performing Arts,0.6986,0.8530,23.0,7008,18888,8931,9478,14289,64403,0.7067,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
110635,University of California-Berkeley,Berkeley,CA,West,Public,Urban,33073,0.1166,37.871918,-122.260463,Computer Science|Engineering|Social Sciences,0.9289,0.9675,18.0,14850,45627,14979,21669,13000,92446,0.8017,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
110644,University of California-Davis,Davis,CA,West,Public,Suburban,31777,0.4163,38.539667,-121.749567,Engineering|Psychology|Social Sciences,0.8507,0.9337,22.0,15247,46024,15288,20548,13000,80838,0.8311,true,DI,,large|public|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
110653,University of California-Irvine,Irvine,CA,West,Public,Urban,29494,0.2557,33.648434,-117.841248,Business|Psychology|Social Sciences,0.8595,0.9379,19.0,14237,45014,12840,17411,15000,80735,0.7755,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
110662,University of California-Los Angeles,Los Angeles,CA,West,Public,Urban,33040,0.0873,34.071780,-118.442179,Engineering|Psychology|Social Sciences,0.9266,0.9676,20.0,13747,44524,14013,21766,14000,82511,0.7863,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
